"Genus"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Megasphaera"	10178.7066063997	-0.749554393276267	0.244613982600874	-3.06423363581502	0.00218228409895907	0.0192554479319918
"Acinetobacter"	20049.7342693028	-0.746393279253266	0.225469949477771	-3.31038917151508	0.000931663385356754	0.0114081230860011
"Comamonas"	1307.36162651652	-0.70597931229726	0.187632160357966	-3.76257093107274	0.000168175589069406	0.00422344161951861
"Photorhabdus"	4165.94367167767	-0.599750392028916	0.205502992694825	-2.91845089049167	0.0035177528095006	0.0281420224760048
"Histophilus"	3551.58615807361	-0.573341785126209	0.163927823758336	-3.4975257523789	0.000469595372564178	0.00781107373362857
"Butyrivibrio"	258737.742045735	-0.542118743285391	0.197985319701735	-2.73817646733654	0.00617809152056065	0.0432016848828993
"Moraxella"	749.390539506803	-0.491184871699167	0.14409604189126	-3.40873257344453	0.000652654257146948	0.00955103790946753
"Simonsiella"	575.118051321389	-0.474728845145899	0.168788295579347	-2.81256969576265	0.00491473714031621	0.0359614912706064
"Dialister"	8615.22752687783	-0.474639906061423	0.172596664893711	-2.74999465576995	0.00595962366700329	0.0425687404785949
"Catenibacterium"	15364.3843388878	-0.470594109057589	0.167936854656737	-2.80220866360444	0.00507540344369824	0.036689663448421
"Oxalobacter"	3362.70695867113	-0.458322458640047	0.158753186740424	-2.8870126518433	0.00388918591315486	0.0299168147165758
"Basfia"	4851.75690939881	-0.4111078483708	0.125406963810113	-3.27818994958914	0.00104475066628046	0.0125370079953655
"Xenorhabdus"	1234.2373620297	-0.360122985285596	0.135022071686448	-2.66714160720245	0.00764994315614554	0.0498909336270361
"Kingella"	544.285713903683	-0.352909824233237	0.108406208573434	-3.25543923062466	0.00113217122399843	0.0130635141230588
"Lactococcus"	13532.0288855323	-0.352488531394951	0.109868157163782	-3.20828655448813	0.00133528383171378	0.0143066124826476
"Anoxybacillus"	6999.55183280334	-0.342155180832539	0.127200597923385	-2.68988657615135	0.00714763081548417	0.0471272361460495
"Enhydrobacter"	497.732440273316	-0.327709351901217	0.104226854003643	-3.14419306841751	0.00166545519817796	0.0169368325238436
"Dehalogenimonas"	2293.60787730527	-0.296272389224263	0.0859967072742257	-3.44515968826006	0.000570722116241287	0.00878034024986595
"Jonquetella"	2086.22468670376	-0.29281794131916	0.108632309634017	-2.6954958640359	0.00702839503372238	0.0468559668914825
"Herminiimonas"	1485.31874017211	-0.264368752891745	0.0862338124257188	-3.06572034165218	0.00217146313290498	0.0192554479319918
"Helicobacter"	12507.9103973107	-0.243124653786003	0.0825664742004585	-2.94459290093622	0.00323379847023125	0.0262199875964696
"Janthinobacterium"	1517.92288829936	-0.239244788991674	0.0679631590882142	-3.52021289477056	0.000431200539518054	0.00767350812279304
"Campylobacter"	20727.8417575674	-0.216367599643623	0.0640440681438887	-3.37841748524635	0.00072904307896399	0.00972057438618653
"unclassified..derived.from.Campylobacterales."	629.629232572859	-0.181446936821849	0.0498776853354905	-3.63783795501715	0.000274936307461058	0.00584327554144074
"Arcobacter"	3664.96910935933	-0.173198868371097	0.0406566426412696	-4.26003863376774	2.04391571525372e-05	0.00153293678644029
"Synechococcus"	13573.2827530452	0.143696870761416	0.0494153776922375	2.90793832754593	0.00363820079429269	0.0287226378496791
"Ruegeria"	2703.88113570226	0.160789762650275	0.0524427289679867	3.06600678138676	0.00216938394549176	0.0192554479319918
"Aquifex"	3115.45286195099	0.165530298815264	0.052796183962029	3.135270134946	0.00171695926662161	0.0171695926662161
"Hyphomonas"	1427.60758687442	0.167611030870552	0.0410742283207194	4.08068605846461	4.4902969386701e-05	0.002005682124757
"Dinoroseobacter"	851.050386153145	0.18173737122708	0.0505053262679704	3.59838030275898	0.00032020516142007	0.0064041032284014
"Desulfobacterium"	3461.70130824541	0.184865574099545	0.0468298565437296	3.94760069202684	7.89383212683067e-05	0.00263127737561022
"Oceanicola"	864.328895783927	0.188354123110296	0.0460710251267541	4.08834234949367	4.34466653318293e-05	0.002005682124757
"Desulfomicrobium"	3377.56368913365	0.198097814613324	0.0489518561204393	4.04678862688948	5.1925089463733e-05	0.00207700357854932
"Pseudovibrio"	613.927705443125	0.213882810135385	0.0739410934125663	2.89261086446195	0.00382054320572788	0.0297704665381393
"Chloroflexus"	8114.20531880739	0.215676986786732	0.0723255175218821	2.98203171130409	0.00286342337602283	0.0238618614668569
"Thermus"	3698.31493505413	0.215720349504343	0.049935476486317	4.31998179818017	1.56042070902231e-05	0.00133750346487627
"Acidobacterium"	3308.81028979341	0.225030795905068	0.0651999353469784	3.45139599767251	0.000557694647605737	0.00878034024986595
"Desulfococcus"	5234.94312072409	0.236278377108791	0.0671629298533505	3.51798793805902	0.000434832126958272	0.00767350812279304
"Agrobacterium"	3603.79863049093	0.242268433914188	0.0750707232827133	3.22720260735754	0.00125006911051467	0.0141376340843892
"Desulfurivibrio"	2145.14804312889	0.242567177163867	0.0666463504134299	3.63961680810938	0.000273044058803164	0.00584327554144074
"Citreicella"	225.191617002282	0.244338219602103	0.0901196388343674	2.7112649669089	0.00670270407235992	0.0455826835142513
"Nitrospira"	1231.06196599683	0.246763886662134	0.0475327965441933	5.1914447413736	2.0866852052516e-07	4.1733704105032e-05
"Beutenbergia"	1475.39840099172	0.248413720550971	0.0706090980430346	3.51815456415501	0.000434559172863066	0.00767350812279304
"Desulfuromonas"	3455.89719542055	0.253951089956274	0.058689359844747	4.32703799509928	1.51127900073644e-05	0.00133750346487627
"Labrenzia"	910.610675012271	0.254607105393254	0.0638785632868924	3.9857988704248	6.72534639289643e-05	0.00246428424118644
"Desulfatibacillum"	5231.12781090797	0.254786352963204	0.0701715100560231	3.63090879417857	0.000282424984502969	0.00584327554144074
"Oscillochloris"	829.416321884997	0.257059781506574	0.0786874976339538	3.26684402524008	0.00108753580768445	0.0127945389139348
"Thermobifida"	1956.33929594982	0.25900878834595	0.0842230266583383	3.07527286328302	0.0021031004952791	0.0192554479319918
"Ketogulonicigenium"	393.884559847507	0.261236694689211	0.0680576677866809	3.83846086980276	0.000123807939687352	0.00371423819062055
"Anaeromyxobacter"	9371.11071732653	0.263113600296816	0.0707504430892259	3.71889685503445	0.000200094731989712	0.00461757073822412
"Parvibaculum"	2119.55474133009	0.269792770116936	0.0842588166426913	3.20195299277726	0.00136499270582348	0.0143683442718261
"Desulfohalobium"	1889.45159212663	0.271421977825019	0.0701494448555583	3.86919637616366	0.000109194668658014	0.00344825269446359
"Desulfonatronospira"	1268.45588880522	0.272944789668225	0.0725639008343548	3.76144042051005	0.000168937664780744	0.00422344161951861
"Acidimicrobium"	408.00125120216	0.287991922469461	0.0851969255461303	3.38030886236061	0.000724044153686153	0.00972057438618653
"Thermomicrobium"	1699.4418597148	0.298236947391531	0.088746370237145	3.36055375103897	0.000777863932771311	0.0100405511838794
"unclassified..derived.from.Deltaproteobacteria."	3432.31324250139	0.298370840378905	0.0834457699536055	3.5756257093055	0.000349391235088758	0.0067624110017179
"Hoeflea"	338.922488490824	0.310294825073774	0.0815008258317601	3.80725988855999	0.000140515057947563	0.00383222885311536
"Rhodospirillum"	4803.85845706779	0.318273160772986	0.110889058175012	2.87019446292588	0.00410219430236285	0.0307664572677214
"Jannaschia"	853.154259980337	0.33140226683281	0.053744380319166	6.16626826590513	6.99204240830304e-10	4.19522544498182e-07
"Blastopirellula"	3723.99850261634	0.34965424699896	0.100166194655562	3.4907410449334	0.000481682880240428	0.00781107373362857
"Afipia"	214.319156390929	0.349688083566504	0.10852679071909	3.22213603894023	0.00127238706759502	0.0141376340843892
"Cyanobium"	262.487058049792	0.350874534854102	0.0829768516349808	4.22858336922225	2.35167373871273e-05	0.00156778249247515
"Citromicrobium"	252.351132781828	0.35467980663392	0.104596506699299	3.39093357729027	0.000696549804536537	0.00971929959818424
"Pirellula"	2576.16367913847	0.390750673351797	0.142891303183328	2.73460080947312	0.00624559675683456	0.0432016848828993
"Aurantimonas"	690.882833360099	0.4039494602652	0.0981245357043616	4.1167018765037	3.84332693353932e-05	0.002005682124757
"Planctomyces"	5705.91117833526	0.408148706660341	0.150698943775386	2.70837138227511	0.00676143138794728	0.0455826835142513
"Waddlia"	1157.38692526343	0.409429339967675	0.132836127557418	3.08221375838212	0.00205467233338807	0.0192554479319918
"Brevundimonas"	1276.77708201966	0.458696637509517	0.11534043493471	3.97689359996925	6.98213868336157e-05	0.00246428424118644
"Elusimicrobium"	6462.71017845243	0.645020830598815	0.18960756574181	3.40187285288576	0.000669257667602344	0.00956082382289062
"Verrucomicrobium"	2759.72427673594	0.659197124440075	0.230807168076928	2.85605135201159	0.00428945751191357	0.0317737593475079
"Lentisphaera"	3888.7437193627	0.738237048023687	0.239632349519889	3.08070696424239	0.00206509778470417	0.0192554479319918
"Methylacidiphilum"	1894.19358259264	0.745421236547373	0.199257583981233	3.74099304856361	0.000183294591088204	0.0043990701861169
"Chthoniobacter"	3370.50525970171	0.84419784117662	0.240542457704203	3.509558558742	0.000448851209491318	0.00769459216270831
"Victivallis"	23285.6901443312	1.14784225694204	0.281715265462944	4.07447659982424	4.6117949853664e-05	0.002005682124757
