"Genus"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Gemella"	417.012432064799	0.636632591568992	0.177478090728139	3.58710525314466	0.000334369379793399	0.00333273086744896
"Halorhodospira"	306.25434448937	0.657674450527945	0.185431679551354	3.5467211002951	0.000390057285266107	0.00376436237209195
"Dokdonia"	1445.28352476715	0.687047109070607	0.256263823329525	2.68101482348972	0.00733992644747828	0.0474752689368808
"Ktedonobacter"	482.458951673038	0.725089932033791	0.210620002331527	3.442645161937	0.000576054611465829	0.00538832621186499
"Parascardovia"	511.412511049482	0.731528118230385	0.244670967658658	2.98984438256256	0.00279119608374174	0.0204463520351202
"unclassified..derived.from.Burkholderiales."	461.553135656848	0.760045218767416	0.250532314210353	3.03372130322982	0.00241557469285863	0.0179106026007079
"Erythrobacter"	502.63308794046	0.769331583837453	0.213963118365814	3.5956270861697	0.000323611097465293	0.00331192494920464
"Spiroplasma"	1.31879666494503	0.776354925401627	0.247078524982096	3.14213841716064	0.00167718726883602	0.0139689021842781
"Congregibacter"	271.20744258337	0.784316408125923	0.208301224454038	3.76529907676555	0.000166349846488659	0.00187297604935379
"Stackebrandtia"	404.260611000231	0.806612664819505	0.251827257288405	3.20303954982813	0.00135985304429919	0.0119824732019407
"Granulicatella"	807.959198030574	0.808964104186261	0.193123732183248	4.18883839412686	2.80385974465833e-05	0.000437114544808273
"Ilyobacter"	1761.00995427197	0.810406406495684	0.261913903220277	3.09417101013576	0.00197363689116554	0.0162158274301169
"Exiguobacterium"	2200.54246625841	0.845759116373381	0.236455424688099	3.57682263999228	0.000347795977093727	0.00341064442053203
"Dehalogenimonas"	381.189664201359	0.853554104395283	0.230528576815724	3.70259564425968	0.000213404867689487	0.00231696713491443
"Actinosynnema"	740.902962070843	0.950624504059269	0.299557637870148	3.17342769431019	0.0015065042071734	0.0129007684219919
"Moritella"	218.301482479622	0.95784208022101	0.266582182768267	3.59304613036963	0.000326834698934669	0.00331192494920464
"Saccharomonospora"	520.787963414198	0.964140744071978	0.315132170615159	3.05948054173559	0.0022172119028459	0.0172828825247475
"Ketogulonicigenium"	264.031350040263	0.968750730474158	0.325722750508158	2.9741574052252	0.00293794324004229	0.0212651129755442
"Desulfatibacillum"	1223.59124770837	0.995906245163232	0.247854603592658	4.01810670743068	5.86676299932619e-05	0.000775433022519636
"Mitsuokella"	2570.86496477924	1.00269342100541	0.324843454391681	3.08669732281695	0.00202393566261749	0.0164073717716191
"Microcystis"	463.561221923688	1.03467132218607	0.257835854267742	4.01290706881923	5.99755293491198e-05	0.000775853656260954
"Citreicella"	149.09036537832	1.04268498268669	0.306272724317594	3.40443304251102	0.000663015527107329	0.00610777940123115
