genus	Abiotrophia	Acaryochloris	Acetivibrio	Acetobacter	Acetohalobium	Acholeplasma	Achromobacter	Acidaminococcus	Acidimicrobium	Acidiphilium	Acidithiobacillus	Acidobacterium	Acidothermus	Acidovorax	Acinetobacter	Actinobacillus	Actinomyces	Actinosynnema	Aerococcus	Aeromicrobium	Aeromonas	Afipia	Aggregatibacter	Agrobacterium	Ahrensia	Akkermansia	Albidiferax	Alcanivorax	Algoriphagus	Alicycliphilus	Alicyclobacillus	Aliivibrio	Alistipes	Alkalilimnicola	Alkaliphilus	Allochromatium	Alteromonas	Aminobacterium	Aminomonas	Ammonifex	Amycolatopsis	Anabaena	Anaerobaculum	Anaerococcus	Anaerofustis	Anaeromyxobacter	Anaerostipes	Anaerotruncus	Anaplasma	Anoxybacillus	Aquifex	Arcanobacterium	Arcobacter	Aromatoleum	Arthrobacter	Arthrospira	Asticcacaulis	Atopobium	Aurantimonas	Avibacterium	Azoarcus	Azorhizobium	Azospirillum	Azotobacter	Bacillus	Bacteroides	Bartonella	Basfia	Bdellovibrio	Beggiatoa	Beijerinckia	Bermanella	Beutenbergia	Bibersteinia	Bifidobacterium	Blastopirellula	Blattabacterium	Blautia	Bordetella	Borrelia	Brachybacterium	Brachyspira	Bradyrhizobium	Brevibacillus	Brevibacterium	Brevundimonas	Brucella	Buchnera	Bulleidia	Burkholderia	Butyrivibrio	Caldanaerobacter	Caldicellulosiruptor	Calditerrivibrio	Caminibacter	Campylobacter	Candidatus Accumulibacter	Candidatus Amoebophilus	Candidatus Azobacteroides	Candidatus Blochmannia	Candidatus Carsonella	Candidatus Cloacamonas	Candidatus Desulforudis	Candidatus Hamiltonella	Candidatus Hodgkinia	Candidatus Koribacter	Candidatus Liberibacter	Candidatus Pelagibacter	Candidatus Phytoplasma	Candidatus Protochlamydia	Candidatus Puniceispirillum	Candidatus Regiella	Candidatus Riesia	Candidatus Solibacter	Candidatus Sulcia	Candidatus Zinderia	Capnocytophaga	Carboxydothermus	Cardiobacterium	Carnobacterium	Catenibacterium	Catenulispora	Catonella	Caulobacter	Cellulomonas	Cellulosilyticum	Cellvibrio	Chelativorans	Chitinophaga	Chlamydia	Chlamydophila	Chlorobaculum	Chlorobium	Chloroflexus	Chloroherpeton	Chromobacterium	Chromohalobacter	Chryseobacterium	Chthoniobacter	Citreicella	Citrobacter	Citromicrobium	Clavibacter	Clostridium	Collimonas	Collinsella	Colwellia	Comamonas	Conexibacter	Congregibacter	Coprobacillus	Coprococcus	Coprothermobacter	Coraliomargarita	Corynebacterium	Coxiella	Croceibacter	Crocosphaera	Cronobacter	Cryptobacterium	Cupriavidus	Cyanobium	Cyanothece	Cylindrospermopsis	Cylindrospermum	Cytophaga	Dechloromonas	Deferribacter	Dehalococcoides	Dehalogenimonas	Deinococcus	Delftia	Denitrovibrio	Dermacoccus	Desulfarculus	Desulfatibacillum	Desulfitobacterium	Desulfobacterium	Desulfococcus	Desulfohalobium	Desulfomicrobium	Desulfonatronospira	Desulfotalea	Desulfotomaculum	Desulfovibrio	Desulfurispirillum	Desulfurivibrio	Desulfuromonas	Dethiobacter	Dethiosulfovibrio	Dialister	Dichelobacter	Dickeya	Dictyoglomus	Dinoroseobacter	Dokdonia	Dorea	Dyadobacter	Edwardsiella	Eggerthella	Ehrlichia	Eikenella	Elusimicrobium	Endoriftia	Enhydrobacter	Enterobacter	Enterococcus	Epulopiscium	Eremococcus	Erwinia	Erysipelothrix	Erythrobacter	Escherichia	Ethanoligenens	Eubacterium	Exiguobacterium	Faecalibacterium	Ferrimonas	Fervidobacterium	Fibrobacter	Filifactor	Finegoldia	Flavobacterium	Fluoribacter	Francisella	Frankia	Fulvimarina	Fusobacterium	Gallionella	Gardnerella	Gemella	Gemmata	Gemmatimonas	Geobacillus	Geobacter	Geodermatophilus	Glaciecola	Gloeobacter	Gluconacetobacter	Gluconobacter	Gordonia	Gramella	Granulibacter	Granulicatella	Haemophilus	Hahella	Halanaerobium	Haliangium	Halomonas	Halorhodospira	Halothermothrix	Halothiobacillus	Helicobacter	Heliobacterium	Herbaspirillum	Herminiimonas	Herpetosiphon	Hirschia	Histophilus	Hoeflea	Holdemania	Hydrogenivirga	Hydrogenobacter	Hydrogenobaculum	Hyphomicrobium	Hyphomonas	Idiomarina	Ilyobacter	Intrasporangium	Janibacter	Jannaschia	Janthinobacterium	Jonesia	Jonquetella	Kangiella	Ketogulonicigenium	Kineococcus	Kingella	Klebsiella	Kocuria	Kordia	Kosmotoga	Kribbella	Ktedonobacter	Kytococcus	Labrenzia	Lactobacillus	Lactococcus	Laribacter	Lawsonia	Leadbetterella	Leeuwenhoekiella	Legionella	Leifsonia	Lentisphaera	Leptolyngbya	Leptospira	Leptospirillum	Leptothrix	Leptotrichia	Leuconostoc	Limnobacter	Listeria	Listonella	Loktanella	Lutiella	Lyngbya	Lysinibacillus	Macrococcus	Magnetococcus	Magnetospirillum	Mannheimia	Maribacter	Maricaulis	Marinobacter	Marinococcus	Marinomonas	Mariprofundus	Maritimibacter	Marivirga	Megasphaera	Meiothermus	Mesoplasma	Mesorhizobium	Methylacidiphilum	Methylibium	Methylobacillus	Methylobacter	Methylobacterium	Methylocella	Methylococcus	Methylophaga	Methylosinus	Methylotenera	Methylovorus	Micrococcus	Microcoleus	Microcystis	Micromonospora	Microscilla	Mitsuokella	Mobiluncus	Moorella	Moraxella	Moritella	Mucilaginibacter	Mycobacterium	Mycoplasma	Myxococcus	Nakamurella	Natranaerobius	Nautilia	Neisseria	Neorickettsia	Neptuniibacter	Nitratiruptor	Nitrobacter	Nitrococcus	Nitrosococcus	Nitrosomonas	Nitrosospira	Nitrospira	Nocardia	Nocardioides	Nocardiopsis	Nodularia	Nostoc	Novosphingobium	Oceanibulbus	Oceanicaulis	Oceanicola	Oceanithermus	Oceanobacillus	Ochrobactrum	Octadecabacter	Oenococcus	Oligotropha	Olsenella	Opitutus	Oribacterium	Orientia	Ornithobacterium	Oscillatoria	Oscillochloris	Oxalobacter	Paenibacillus	Paludibacter	Pantoea	Parabacteroides	Parachlamydia	Paracoccus	Parascardovia	Parvibaculum	Parvularcula	Pasteurella	Pectobacterium	Pediococcus	Pedobacter	Pelagibaca	Pelobacter	Pelodictyon	Pelotomaculum	Peptoniphilus	Peptostreptococcus	Persephonella	Petrotoga	Phaeobacter	Phenylobacterium	Photobacterium	Photorhabdus	Pirellula	Planctomyces	Planococcus	Plesiocystis	Polaribacter	Polaromonas	Polynucleobacter	Porphyromonas	Prevotella	Prochlorococcus	Propionibacterium	Prosthecochloris	Proteus	Providencia	Pseudoalteromonas	Pseudomonas	Pseudoramibacter	Pseudovibrio	Psychrobacter	Psychroflexus	Psychromonas	Pyramidobacter	Ralstonia	Raphidiopsis	Reinekea	Renibacterium	Rhizobium	Rhodobacter	Rhodococcus	Rhodomicrobium	Rhodopirellula	Rhodopseudomonas	Rhodospirillum	Rhodothermus	Rickettsia	Rickettsiella	Riemerella	Robiginitalea	Roseburia	Roseibium	Roseiflexus	Roseobacter	Roseomonas	Roseovarius	Rothia	Rubrobacter	Ruegeria	Ruminococcus	Saccharomonospora	Saccharophagus	Saccharopolyspora	Sagittula	Salinibacter	Salinispora	Salmonella	Sanguibacter	Scardovia	Sebaldella	Segniliparus	Selenomonas	Serratia	Shewanella	Shigella	Shuttleworthia	Sideroxydans	Simonsiella	Sinorhizobium	Slackia	Sodalis	Sorangium	Sphaerobacter	Sphingobacterium	Sphingobium	Sphingomonas	Sphingopyxis	Spirochaeta	Spiroplasma	Spirosoma	Sporosarcina	Stackebrandtia	Staphylococcus	Starkeya	Stenotrophomonas	Stigmatella	Streptobacillus	Streptococcus	Streptomyces	Streptosporangium	Subdoligranulum	Sulfitobacter	Sulfuricurvum	Sulfurihydrogenibium	Sulfurimonas	Sulfurospirillum	Sulfurovum	Symbiobacterium	Synechococcus	Synechocystis	Syntrophobacter	Syntrophomonas	Syntrophothermus	Syntrophus	Teredinibacter	Terriglobus	Tetragenococcus	Thalassobium	Thauera	Thermaerobacter	Thermanaerovibrio	Thermincola	Thermoanaerobacter	Thermoanaerobacterium	Thermobaculum	Thermobifida	Thermobispora	Thermocrinis	Thermodesulfovibrio	Thermomicrobium	Thermomonospora	Thermosediminibacter	Thermosinus	Thermosipho	Thermosynechococcus	Thermotoga	Thermus	Thioalkalivibrio	Thiobacillus	Thiomicrospira	Thiomonas	Tolumonas	Treponema	Trichodesmium	Tropheryma	Truepera	Tsukamurella	Turicibacter	Ureaplasma	Variovorax	Veillonella	Verminephrobacter	Verrucomicrobium	Vibrio	Victivallis	Waddlia	Weissella	Wigglesworthia	Wolbachia	Wolinella	Xanthobacter	Xanthomonas	Xenorhabdus	Xylanimonas	Xylella	Yersinia	Zunongwangia	Zymomonas	unclassified (derived from Actinobacteria (class))	unclassified (derived from Alicyclobacillaceae)	unclassified (derived from Alphaproteobacteria)	unclassified (derived from Alteromonadales)	unclassified (derived from Bacteria)	unclassified (derived from Bacteroidetes)	unclassified (derived from Betaproteobacteria)	unclassified (derived from Burkholderiales)	unclassified (derived from Campylobacterales)	unclassified (derived from Candidatus Poribacteria)	unclassified (derived from Chroococcales)	unclassified (derived from Clostridiales Family XI. Incertae Sedis)	unclassified (derived from Clostridiales)	unclassified (derived from Deltaproteobacteria)	unclassified (derived from Elusimicrobia)	unclassified (derived from Erysipelotrichaceae)	unclassified (derived from Flavobacteria)	unclassified (derived from Flavobacteriaceae)	unclassified (derived from Flavobacteriales)	unclassified (derived from Gammaproteobacteria)	unclassified (derived from Lachnospiraceae)	unclassified (derived from Methylophilales)	unclassified (derived from Opitutaceae)	unclassified (derived from Proteobacteria)	unclassified (derived from Rhodobacteraceae)	unclassified (derived from Rhodobacterales)	unclassified (derived from Rickettsiales)	unclassified (derived from Ruminococcaceae)	unclassified (derived from Thermotogales)	unclassified (derived from Thiotrichales)	unclassified (derived from Verrucomicrobia subdivision 3)	unclassified (derived from Verrucomicrobiales)	unclassified (derived from Vibrionaceae)	unclassified (derived from Vibrionales)
G527_17_P1A11_rumen_S17_R	52281	5182	33726	2775	8040	16358	3900	89134	1136	4734	7576	8939	3365	12338	46664	62134	9333	3639	3306	491	36180	604	7223	8741	840	32493	4618	5198	15403	1077	13844	12969	86633	5446	111226	4294	6567	6935	2470	8275	3382	13311	3856	39434	17438	26331	31002	55900	1809	15020	8881	8811	9836	5910	10126	4006	4487	72743	1976	1	5320	3323	5409	3131	631078	6986030	5197	11756	7070	3237	1758	1470	3733	1	152595	9381	3321	94600	12266	23131	2836	47994	12777	15091	2554	3326	79170	3644	15531	87816	409439	72299	103633	5662	1407	50279	3456	8519	27125	919	54	5644	10453	1700	2	14003	940	3318	4896	5750	1775	608	208	27807	1777	63	67834	29754	1762	3258	28624	3636	3389	24042	3684	35309	9206	5417	56152	9484	8361	16093	52457	20400	12639	6697	4827	13794	11396	659	9159	749	3914	2810554	2	30781	7463	2608	4116	2647	15412	94867	4490	11607	31795	10463	21748	3795	7775	20986	10594	751	31498	1270	1	53271	6577	7713	29228	5906	13693	3234	10114	550	5510	14071	120037	8735	14642	5370	8978	3793	14629	62378	79220	5022	5829	9235	7513	11211	15196	3749	7926	17971	2321	16401	72459	45575	6022	61891	3278	1121	45189	563	1376	16855	372899	9806	2913	6382	6437	6519	258996	99601	754602	19838	131898	4772	10127	444159	8366	35226	137695	20	38418	13957	1170	113250	2555	17274	4415	4202	4083	94080	81618	2023	1369	8547	5691	4610	1295	46055	3656	7679	44972	10033	8652	6587	2220	3814	20924	2225	30540	27439	2059	3552	7381	2247	9027	981	78369	2813	2029	3110	2129	4002	9448	14803	1071	1645	2581	3655	2576	4945	3985	1043	4754	1347	45177	1642	9613	6554	3042	4638	1353	2761	335991	27997	2470	5817	27503	31621	14642	2160	11480	0	23677	38	2826	26296	13618	1098	143274	17	992	1614	3060	13833	5867	10821	15771	9353	25337	4211	9990	0	9298	2698	1795	20056	17368	7641	3665	7431	6009	3242	4939	2335	17295	2611	7561	1487	1297	3017	2491	2824	3409	6287	3621	15564	40077	15003	27619	1917	3948	20967	78057	33492	13969	2119	14946	2720	55753	1120	1654	5787	7094	2516	14101	9666	4932	3614	4871	4550	2428	2009	14242	5034	470	2247	2428	2427	16646	5113	1124	8724	1719	37201	31919	79026	1735	22	1913	2157	8231	92061	312231	9575	881048	2687	4754	8910	6017	2014	7544	10434	11754	89642	795	39021	19801	30079	25084	16177	4172	10296	537	2569	21591	11052	6179	16206	20	3495	34758	7806	3494	335643	6796944	14532	13216	4503	10409	6513	21323	73289	20450	1717	9407	8664	13234	27466	10415	876	4799	1275	13257	11132	8191	2226	19049	18421	14899	18083	10540	467	16305	23843	140678	1347	24054	7377	1965	2992	2844	8043	7601	991926	1790	14449	8257	699	11618	4990	79283	3843	3136	23328	926	68485	11118	84636	19956	40048	2372	1289	15071	121122	2880	8305	6934	26742	3113	5995	4003	47908	32	58804	2	2354	235980	2269	6444	8116	6894	349332	44841	4092	75245	1425	2223	10627	7061	4084	6779	24718	41049	8331	16884	41318	9451	20679	4655	4250	47	604	3210	9442	8475	18146	183361	25690	7690	4455	2473	2038	6415	4272	2648	17677	11771	15737	7446	43545	9912	6220	4943	5402	1380	22611	101270	10161	1157	3820	1231	15347	14908	2021	57099	3897	9178	177962	78466	3629	2459	461	7313	4826	5431	27243	4062	6110	9445	99932	27194	6310	1755	9204	3038	2338	21375	103491	623	7617	1635	1115	1130	8498	87905	10104	7111	113302	23573	17835	18671	13305	108121	587	12456	18	1780	2660	934	114608	3144	5	13004	8908	2839	0
G527_18_P1A13_rumen_S18_R	45223	5022	31689	14794	7327	15005	6912	73122	999	6440	6241	9958	3353	12849	41942	41768	8117	3436	2694	579	12540	771	4209	11871	1175	31898	4818	4344	20528	1089	13078	8365	107261	4752	100504	3813	4310	6961	2625	8036	3273	12163	3461	34293	15057	27027	25669	54396	2102	15950	8619	8865	8909	5189	9682	3730	5331	51140	3105	1	5469	4340	6768	2991	571192	7425006	5996	8648	7479	2681	2154	1131	3645	1	135787	11256	4258	82048	15052	21756	2754	44174	17778	16013	2638	4635	111314	2421	12702	81352	375468	68897	98889	6245	1543	44655	2911	10834	26541	717	51	7462	10388	708	4	15696	766	3757	4242	5575	2155	426	129	31784	2088	21	80294	28364	1425	2955	23362	3837	2994	26003	3344	33297	8649	6710	69145	9450	7414	16705	52491	19085	13646	6732	4418	17514	12077	721	7968	1081	4487	2535162	2	24990	5139	2962	3673	2182	13320	80663	4367	11085	28613	8650	26897	3684	6075	18350	10671	814	31200	1476	0	69745	6250	8157	23055	5648	12922	3663	9744	557	5739	14562	108241	8945	14402	5364	9252	3586	15287	56866	81078	5011	6027	9493	7018	10715	13177	3195	5252	17074	2488	20370	62499	55171	3704	54877	3419	959	24911	473	1160	17178	325493	9075	2512	4584	5550	8613	180907	89749	670293	17649	110936	2379	9748	415026	7271	29394	161593	18	32356	13068	1545	100444	2646	13405	3990	4791	4247	86031	79890	2112	681	8724	12814	8953	1365	59021	6015	6484	27688	8741	7905	6515	2025	3720	19637	1861	25826	23463	2002	3358	7492	2559	6405	1222	69331	2521	2163	3065	2509	4533	5929	14812	1206	1742	2741	3611	2512	4433	3120	1328	4533	1090	37261	1590	12997	6243	3332	4433	1369	3097	265323	24605	2492	6172	34756	38808	13092	2648	11797	1	24021	25	2753	24075	11293	975	130911	13	1145	1420	2867	10643	5005	9976	23479	5413	30804	4813	8407	0	7780	2775	1950	27907	15561	7094	3005	9458	5994	3410	4642	1935	72163	3030	6721	1240	1450	2596	2278	2022	3335	5934	3579	22015	30069	12835	25792	1471	1460	27024	78223	24980	14337	2075	12763	2630	47847	1152	1289	5585	8430	2069	13502	8540	4278	3624	4641	4491	2329	2034	14051	7361	498	2680	2763	2443	14677	6993	1344	7545	2242	27006	33912	61129	1543	21	2006	1990	6990	88778	224196	12123	859689	2419	5134	6774	7144	2220	4884	7827	9871	119086	795	39260	20198	29171	21591	14461	4148	8182	577	2929	12295	7017	7443	18560	15	3676	41484	7925	3072	307399	7318536	15002	10974	4463	6168	3461	15058	67829	18312	2042	8608	10398	8039	26346	9753	1071	3822	1123	16153	12559	8054	2529	20452	23864	19237	20022	11645	364	18845	30046	135272	1666	22922	8246	3403	3273	2644	7791	8612	1018666	1763	14282	8302	917	13582	4785	61402	3619	2581	21049	823	56585	11421	54973	13170	33291	2100	1035	19239	105311	1721	8631	6613	37262	6043	10812	5824	47399	24	73076	0	2460	206566	2815	8933	7453	5910	300552	43860	3907	68998	1659	2208	9905	6522	3938	6466	23843	42320	8659	16915	36266	9264	20807	4317	4930	26	666	3012	9558	8825	16940	166455	23626	7732	4546	2530	1913	6563	4098	2416	16459	11441	14928	7819	43557	9744	5551	4565	4582	1367	5413	102302	10336	991	3537	1281	13383	9234	2140	51519	4197	9492	100549	83854	3525	1798	402	9973	4782	8596	32757	2320	6234	8649	69884	35334	8406	2042	8184	3993	1119	10363	80918	511	5020	1642	1335	1181	7258	79401	9915	10180	93128	29168	20597	23033	10749	88566	545	12748	7	1745	2204	997	91817	3082	3	13700	9336	1234	0
G527_19_P1A14_rumen_S19_R	22630	3771	15340	1864	4372	9777	2752	42900	766	3491	5364	7895	2314	8766	28827	46091	5526	2426	1515	407	21774	454	4832	5834	582	30696	3636	3869	14515	736	7572	8823	77404	3945	51565	3206	4105	4625	1867	5175	2537	10667	2611	18407	7749	22356	12315	22724	1173	7183	6917	3691	6726	4296	6259	2990	3763	27434	1474	0	4109	2493	3735	2382	307956	5420175	3625	8339	5987	2530	1267	952	2642	0	80938	9380	3064	35001	9105	24220	1817	34472	9955	7034	1446	2389	52135	2587	6297	61266	162239	36882	53867	4744	1122	34943	2638	7409	17666	671	34	5452	6177	754	2	12469	520	2477	2417	5455	1149	420	121	25343	1556	35	55265	16803	1280	1544	13682	2752	1613	16817	2258	15526	7757	3924	50296	8874	6720	13493	42859	13642	10793	5164	3440	11976	12531	454	4921	594	2376	1234244	0	11618	5042	1786	2629	1793	7612	35405	2633	12041	19993	7284	18053	2750	4816	8711	7760	587	23605	1080	0	48991	5148	6286	15898	4073	9105	2366	7774	426	4531	12900	58334	7308	12585	4742	7299	3010	13371	32307	67392	3906	5209	7680	4418	7668	7729	3347	4979	11383	1681	13948	27338	40261	3903	24379	2270	762	18059	371	942	8457	180196	5497	1195	3819	3140	4600	136302	37653	307952	10185	51334	3263	6549	545506	3653	15642	116846	23	26171	9410	760	67023	1985	9891	2443	3752	3484	47702	62709	1470	845	6673	3902	3169	858	39650	2635	3575	30639	7454	5054	5475	1634	3114	11792	1637	21631	13380	1295	2385	5468	1717	6166	640	37317	1965	1625	2359	1705	3006	6337	8962	744	1203	1844	2334	1373	2715	2870	719	2861	917	13199	1201	8694	4398	2274	3371	942	1845	144427	14006	1966	4931	25092	28179	10728	1194	13801	0	19897	6	2092	15034	6122	860	74541	13	863	1130	2033	6013	2604	7584	11627	5781	22878	3078	6945	0	6271	2379	1156	18404	7955	5302	1939	5188	6647	2511	3860	1679	21158	1794	5611	1022	1001	2331	1789	1386	2909	4619	2578	15473	17097	7527	15733	1156	2583	19642	52469	19388	11504	1421	7835	1962	40927	767	1241	4547	5121	1825	11330	7592	3880	2933	3113	3044	1690	1607	10741	4308	268	1602	1689	1700	8321	2798	815	4538	1273	12114	31656	30808	1349	27	1599	1644	4546	48474	140417	6687	625971	2556	3093	3838	4094	1364	5516	6736	5538	85635	568	30383	15952	16984	11500	6940	2985	5895	366	1919	13835	6499	5917	16228	5	3041	28433	5822	2533	213591	5982852	11142	6771	3700	6444	3661	14731	52176	7340	1355	7018	7061	8947	15124	7265	825	3086	667	10568	7615	5260	1633	18638	14635	10450	15774	7693	311	13408	21432	60102	943	17401	5194	1592	1972	1748	5388	4979	354235	1230	12075	5730	522	9785	3412	41740	2309	1655	12890	482	31181	6321	54966	10641	15266	1667	914	10795	49157	1782	7134	4611	26006	3091	5480	3470	44855	16	54388	0	1892	119996	1747	5653	6741	4029	160162	32045	2880	29553	1007	1625	7795	5120	2911	5051	13790	30825	6609	14174	23167	5458	17309	3823	3673	12	444	2135	5600	5888	9837	85692	12448	5288	3230	1896	1633	5074	2793	1849	8640	7151	11029	5926	30970	7020	4739	3934	3835	1088	13280	99671	7861	769	2772	1059	6871	6593	1483	31219	2854	9939	117151	92597	3203	871	364	5065	3561	4473	24193	2443	4453	6578	69147	25835	4631	1002	4656	1994	1433	4363	52365	460	4120	1172	1024	857	3925	37300	8898	16398	50752	19636	14946	15806	9350	40819	453	12683	22	1114	1771	664	49203	2207	0	15271	8827	1976	849
G527_20_P1A19_rumen_S20_R	15149	2024	10982	1010	2626	5626	1391	24842	493	2235	2858	4698	1448	4842	15116	20494	4528	1661	1014	224	6653	355	2516	3884	371	19503	1960	2215	7711	396	4563	4166	32160	2761	36380	2027	1981	2977	1078	3180	1925	5125	1580	14307	5706	13582	9104	17930	1056	4149	4138	2592	3754	2200	4094	1772	2607	16582	715	0	2290	1474	2882	1230	204306	2114596	2479	4265	3570	1510	1005	615	1986	2	50033	5811	2169	24823	5259	13883	1364	28518	5733	4672	1036	1570	37572	1187	4459	38523	112520	23973	37681	2509	746	26928	1380	4765	9830	406	81	3151	3479	756	1	7496	342	2106	1477	4218	1039	199	64	14410	1477	81	27674	10067	825	1173	8533	2124	1308	11163	1576	11790	3893	2681	23711	5804	4931	7359	21639	8532	5486	2776	1688	5856	8625	352	2250	357	1452	903377	0	7873	2497	1024	1817	1007	4563	26398	1692	8215	13094	5347	9302	1326	2101	6090	4326	393	13702	561	0	25154	2738	3740	9632	2211	5582	1295	4168	268	2609	7703	36096	4277	7166	2647	4495	1520	6845	19021	38207	2357	3201	4871	2545	4623	5695	3254	2342	7354	949	7840	19924	20102	1652	16519	1900	563	13516	193	491	4041	119051	3957	812	1839	1619	2921	66527	30728	215077	5837	33878	1433	4711	212265	2674	11098	55945	5	17962	5825	510	52376	940	12416	1841	2756	2124	27644	36787	905	407	3147	2961	1946	596	20525	1866	2182	13203	4480	3395	3746	853	1800	7347	811	15622	8419	761	1357	3790	1036	2879	479	22265	1174	874	1245	1243	1780	2806	5210	416	610	1026	1577	997	1609	1609	439	1800	573	5462	720	5851	3391	1428	2072	639	1167	122123	11865	1060	2931	11978	13248	7069	780	10041	0	12099	6	1291	10853	3772	698	50818	2	507	663	1422	3620	1714	4827	8445	3035	11621	1973	3958	0	3511	1379	795	10210	4954	3011	969	3491	4274	1266	2317	983	9745	1094	3121	571	647	1259	906	1060	2062	2763	1810	9727	10209	4678	9075	600	773	9523	34515	13254	6654	1329	4414	1320	20702	634	689	2378	3114	1222	5867	4242	4354	1584	1822	1987	1150	1067	6042	2278	178	1063	1023	1203	5108	2183	527	2927	739	9718	17654	21984	1655	9	977	1138	3041	31196	87215	2661	274888	2046	2942	3039	2881	926	2282	3104	3753	42685	427	17430	8060	9781	8590	4895	1742	4570	202	1156	6064	3129	4615	10199	4	2753	14377	3094	1402	105326	2017212	6219	4659	2073	2995	1768	6819	27326	5585	884	3795	4176	4244	10066	4226	365	2041	437	5948	5037	3307	979	10929	8555	8039	8140	5695	227	6325	9907	40535	869	9787	3324	1138	1250	1383	3614	3253	430567	991	6711	3750	396	5129	2346	21035	1555	1256	8527	318	19335	3302	26453	4809	11062	1022	511	6730	34850	847	4433	2621	13352	1753	2951	2272	25460	20	24603	0	1299	72971	1072	2775	4676	2550	105778	23785	2338	20241	612	918	4124	2839	1762	2968	8531	16092	3539	9493	13328	3126	9445	2606	1985	0	310	1387	3464	3377	5380	54413	8721	3089	2305	1019	995	2963	1734	1025	5705	3799	8171	2717	19578	4163	2762	2134	2177	687	3652	53063	4716	680	1594	830	4435	5419	830	18949	1742	6669	47200	61278	2195	598	206	4137	2087	2482	11984	998	2162	5657	37411	12520	3051	617	2634	1595	598	3569	31651	280	2452	708	486	746	2991	27891	5219	3695	30093	10502	7296	8493	6594	26763	333	8353	6	797	1142	553	30222	1440	1	9930	5824	651	334
G527_22_P1A20_rumen_S22_R	41324	3542	26311	2038	5870	12923	2502	63764	826	3436	4938	7328	2652	9032	28113	42007	8849	3606	2485	439	18230	492	5169	6673	537	27391	3543	3846	10894	878	10948	8373	47841	4628	88519	3143	3701	6086	1889	5977	3036	8091	2624	31150	13473	20805	23422	42841	1592	9898	6707	7699	6394	4438	9193	2976	3752	63355	1234	0	4189	2666	4337	2205	468942	3799821	3417	8936	5683	2420	1213	950	3165	0	121184	8927	2833	70067	8777	19380	3013	49215	9875	10291	2115	2609	55051	2754	12108	64891	359386	55878	84625	4028	1042	41939	2164	6500	13313	696	138	4643	8014	933	6	11584	488	2721	3377	5677	1294	448	131	23992	1965	80	40255	21844	1192	2677	20251	3895	3132	17773	3060	28633	7089	4452	35641	7935	7341	11111	35893	16667	8460	4675	3362	8755	10606	471	5002	519	3183	2217277	0	21172	4664	1815	3312	1885	10498	74249	3574	10925	24341	8236	12781	2702	4225	17230	7871	611	23079	855	0	34945	4714	5769	20590	4011	10501	2380	6924	457	4112	11569	93083	6739	11211	4251	7261	2669	11632	43850	64611	4027	4680	7796	5823	9809	11923	4924	5071	14613	1750	10487	57107	29118	3645	53977	2795	838	13257	346	898	7810	280293	8801	2009	3641	4103	4349	129689	77929	586391	14129	97418	2698	8350	383104	6755	26607	87789	23	31490	11279	605	97457	1825	22717	3664	3816	3164	67904	60838	1478	701	5339	4626	3471	1224	29378	2749	5744	26526	7778	6756	5726	1599	3008	15049	1457	23802	19776	1401	2579	6855	1744	5649	693	60034	1826	1356	2133	1648	2925	5515	10642	842	1270	1832	2662	2096	3305	2818	778	3578	925	9466	1322	7127	6316	2686	4049	1126	1924	249825	23934	1810	5015	17795	20267	12781	1661	12846	2	20109	15	2058	22473	8367	1026	109557	7	727	1109	2324	8254	3810	8812	11103	5742	16577	2861	7021	0	6598	1961	1456	13772	12766	5351	2197	5429	5480	2328	3933	1492	12831	1722	5513	973	1060	2081	1428	1893	3186	4252	3365	12734	21679	11073	20336	1292	1891	13938	62497	23316	10977	2223	10408	1908	36487	876	1103	3907	4864	1849	10857	7981	6713	2525	3934	3924	1849	1650	10714	3934	309	1531	1660	2103	12402	3483	873	6642	1224	26998	25997	63223	2066	17	1443	1857	5791	77319	119253	5296	443312	2979	4591	7483	4507	1347	4739	7046	8287	60023	635	29649	13465	21850	19836	11934	2754	9270	309	1826	12917	6293	5953	15018	2	3988	20344	5379	2787	158239	3897663	10286	9544	2893	6369	3509	13555	49838	13974	1455	6658	5870	8599	27622	7473	653	3799	935	10923	7594	6362	1579	15735	13716	10741	13339	8411	303	9056	14587	121035	915	18223	5751	1317	2130	2068	6821	5325	838802	1767	12035	7240	676	8576	3883	43233	3270	2935	16961	629	42648	6289	51803	9496	31807	1488	829	11433	101349	1571	7606	5304	17706	2772	4669	3517	42639	8	38750	0	2157	163249	1590	4082	7241	4871	251852	41077	3901	55756	1052	1476	6645	4713	2874	4753	19795	27688	6186	14566	30177	7077	15794	4110	3157	15	451	2273	7481	6865	12799	133840	20964	6186	4310	1881	1449	4440	3425	1921	13394	8259	14220	4630	36700	7265	4310	3648	3568	1135	10843	87474	8143	1177	3182	1577	10968	7465	1516	41592	2975	8581	106528	82690	2965	1151	403	6892	3310	3890	18473	2293	4930	8545	67628	18899	4337	1357	6922	2142	1249	10479	41819	446	4677	1078	766	1063	6948	74485	7945	3828	77542	14313	10644	11707	9994	83880	522	11314	14	1441	1647	882	77945	2742	4	12465	8043	1501	953
