genus	Abiotrophia	Acaryochloris	Acetivibrio	Acetobacter	Acetohalobium	Acholeplasma	Achromobacter	Acidaminococcus	Acidimicrobium	Acidiphilium	Acidithiobacillus	Acidobacterium	Acidothermus	Acidovorax	Acinetobacter	Actinobacillus	Actinomyces	Actinosynnema	Aerococcus	Aeromicrobium	Aeromonas	Afipia	Aggregatibacter	Agrobacterium	Ahrensia	Akkermansia	Albidiferax	Alcanivorax	Algoriphagus	Alicycliphilus	Alicyclobacillus	Aliivibrio	Alistipes	Alkalilimnicola	Alkaliphilus	Allochromatium	Alteromonas	Aminobacterium	Ammonifex	Aminomonas	Ammonifex	Amycolatopsis	Anabaena	Anaerobaculum	Anaerococcus	Anaerofustis	Anaeromyxobacter	Anaerostipes	Anaerotruncus	Anaplasma	Anoxybacillus	Aquifex	Arcanobacterium	Arcobacter	Aromatoleum	Arthrobacter	Arthrospira	Asticcacaulis	Atopobium	Aurantimonas	Avibacterium	Azoarcus	Azorhizobium	Azospirillum	Azotobacter	Bacillus	Bacteroides	Bartonella	Basfia	Bdellovibrio	Beggiatoa	Beijerinckia	Bermanella	Beutenbergia	Bifidobacterium	Blastopirellula	Blattabacterium	Blautia	Bordetella	Borrelia	Brachybacterium	Brachyspira	Bradyrhizobium	Brevibacillus	Brevibacterium	Brevundimonas	Brucella	Buchnera	Bulleidia	Burkholderia	Butyrivibrio	Caldanaerobacter	Caldicellulosiruptor	Calditerrivibrio	Caminibacter	Campylobacter	Candidatus Accumulibacter	Candidatus Amoebophilus	Candidatus Azobacteroides	Candidatus Blochmannia	Candidatus Carsonella	Candidatus Cloacamonas	Candidatus Desulforudis	Candidatus Hamiltonella	Candidatus Koribacter	Candidatus Liberibacter	Candidatus Pelagibacter	Candidatus Phytoplasma	Candidatus Protochlamydia	Candidatus Puniceispirillum	Candidatus Regiella	Candidatus Riesia	Candidatus Solibacter	Candidatus Sulcia	Candidatus Zinderia	Capnocytophaga	Carboxydothermus	Cardiobacterium	Carnobacterium	Catenibacterium	Catenulispora	Catonella	Caulobacter	Cellulomonas	Cellulosilyticum	Cellvibrio	Chelativorans	Chitinophaga	Chlamydia	Chlamydophila	Chlorobaculum	Chlorobium	Chloroflexus	Chloroherpeton	Chromobacterium	Chromohalobacter	Chryseobacterium	Chthoniobacter	Citreicella	Citrobacter	Citromicrobium	Clavibacter	Clostridium	Collimonas	Collinsella	Colwellia	Comamonas	Conexibacter	Congregibacter	Coprobacillus	Coprococcus	Coprothermobacter	Coraliomargarita	Corynebacterium	Coxiella	Croceibacter	Crocosphaera	Cronobacter	Cryptobacterium	Cupriavidus	Cyanobium	Cyanothece	Cylindrospermopsis	Cytophaga	Dechloromonas	Deferribacter	Dehalococcoides	Dehalogenimonas	Deinococcus	Delftia	Denitrovibrio	Dermacoccus	Desulfarculus	Desulfatibacillum	Desulfitobacterium	Desulfobacterium	Desulfococcus	Desulfohalobium	Desulfomicrobium	Desulfonatronospira	Desulfotalea	Desulfotomaculum	Desulfovibrio	Desulfurispirillum	Desulfurivibrio	Desulfuromonas	Dethiobacter	Dethiosulfovibrio	Dialister	Dichelobacter	Dickeya	Dictyoglomus	Dinoroseobacter	Dokdonia	Dorea	Dyadobacter	Edwardsiella	Eggerthella	Ehrlichia	Eikenella	Elusimicrobium	Endoriftia	Enhydrobacter	Enterobacter	Enterococcus	Epulopiscium	Eremococcus	Erwinia	Erysipelothrix	Erythrobacter	Escherichia	Ethanoligenens	Eubacterium	Exiguobacterium	Faecalibacterium	Ferrimonas	Fervidobacterium	Fibrobacter	Filifactor	Finegoldia	Flavobacterium	Fluoribacter	Francisella	Frankia	Fulvimarina	Fusobacterium	Gallionella	Gardnerella	Gemella	Gemmata	Gemmatimonas	Geobacillus	Geobacter	Geodermatophilus	Glaciecola	Gloeobacter	Gluconacetobacter	Gluconobacter	Gordonia	Gramella	Granulibacter	Granulicatella	Haemophilus	Hahella	Halanaerobium	Haliangium	Halomonas	Halorhodospira	Halothermothrix	Halothiobacillus	Helicobacter	Heliobacterium	Herbaspirillum	Herminiimonas	Herpetosiphon	Hirschia	Histophilus	Hoeflea	Holdemania	Hydrogenivirga	Hydrogenobacter	Hydrogenobaculum	Hyphomicrobium	Hyphomonas	Idiomarina	Ilyobacter	Intrasporangium	Janibacter	Jannaschia	Janthinobacterium	Jonesia	Jonquetella	Kangiella	Ketogulonicigenium	Kineococcus	Kingella	Klebsiella	Kocuria	Kordia	Kosmotoga	Kribbella	Ktedonobacter	Kytococcus	Labrenzia	Lactobacillus	Lactococcus	Laribacter	Lawsonia	Leadbetterella	Leeuwenhoekiella	Legionella	Leifsonia	Lentisphaera	Leptolyngbya	Leptospira	Leptospirillum	Leptothrix	Leptotrichia	Leuconostoc	Limnobacter	Listeria	Listonella	Loktanella	Lutiella	Lyngbya	Lysinibacillus	Macrococcus	Magnetococcus	Magnetospirillum	Mannheimia	Maribacter	Maricaulis	Marinobacter	Marinococcus	Marinomonas	Mariprofundus	Maritimibacter	Marivirga	Megasphaera	Meiothermus	Mesoplasma	Mesorhizobium	Methylacidiphilum	Methylibium	Methylobacillus	Methylobacter	Methylobacterium	Methylocella	Methylococcus	Methylophaga	Methylosinus	Methylotenera	Methylovorus	Micrococcus	Microcoleus	Microcystis	Micromonospora	Microscilla	Mitsuokella	Mobiluncus	Moorella	Moraxella	Moritella	Mucilaginibacter	Mycobacterium	Mycoplasma	Myxococcus	Nakamurella	Natranaerobius	Nautilia	Neisseria	Neorickettsia	Neptuniibacter	Nitratiruptor	Nitrobacter	Nitrococcus	Nitrosococcus	Nitrosomonas	Nitrosospira	Nitrospira	Nocardia	Nocardioides	Nocardiopsis	Nodularia	Nostoc	Novosphingobium	Oceanibulbus	Oceanicaulis	Oceanicola	Oceanithermus	Oceanobacillus	Ochrobactrum	Octadecabacter	Oenococcus	Oligotropha	Olsenella	Opitutus	Oribacterium	Orientia	Ornithobacterium	Oscillatoria	Oscillochloris	Oxalobacter	Paenibacillus	Paludibacter	Pantoea	Parabacteroides	Parachlamydia	Paracoccus	Parascardovia	Parvibaculum	Parvularcula	Pasteurella	Pectobacterium	Pediococcus	Pedobacter	Pelagibaca	Pelobacter	Pelodictyon	Pelotomaculum	Peptoniphilus	Peptostreptococcus	Persephonella	Petrotoga	Phaeobacter	Phenylobacterium	Photobacterium	Photorhabdus	Pirellula	Planctomyces	Plesiocystis	Polaribacter	Polaromonas	Polynucleobacter	Porphyromonas	Prevotella	Prochlorococcus	Propionibacterium	Prosthecochloris	Proteus	Providencia	Pseudoalteromonas	Pseudomonas	Pseudoramibacter	Pseudovibrio	Psychrobacter	Psychroflexus	Psychromonas	Pyramidobacter	Ralstonia	Raphidiopsis	Reinekea	Renibacterium	Rhizobium	Rhodobacter	Rhodococcus	Rhodomicrobium	Rhodopirellula	Rhodopseudomonas	Rhodospirillum	Rhodothermus	Rickettsia	Rickettsiella	Riemerella	Robiginitalea	Roseburia	Roseibium	Roseiflexus	Roseobacter	Roseomonas	Roseovarius	Rothia	Rubrobacter	Ruegeria	Ruminococcus	Saccharomonospora	Saccharophagus	Saccharopolyspora	Sagittula	Salinibacter	Salinispora	Salmonella	Sanguibacter	Scardovia	Sebaldella	Segniliparus	Selenomonas	Serratia	Shewanella	Shigella	Shuttleworthia	Sideroxydans	Simonsiella	Sinorhizobium	Slackia	Sodalis	Sorangium	Sphaerobacter	Sphingobacterium	Sphingobium	Sphingomonas	Sphingopyxis	Spirochaeta	Spirosoma	Stackebrandtia	Staphylococcus	Starkeya	Stenotrophomonas	Stigmatella	Streptobacillus	Streptococcus	Streptomyces	Streptosporangium	Subdoligranulum	Sulfitobacter	Sulfuricurvum	Sulfurihydrogenibium	Sulfurimonas	Sulfurospirillum	Sulfurovum	Symbiobacterium	Synechococcus	Synechocystis	Syntrophobacter	Syntrophomonas	Syntrophothermus	Syntrophus	Teredinibacter	Terriglobus	Tetragenococcus	Thalassobium	Thauera	Thermaerobacter	Thermanaerovibrio	Thermincola	Thermoanaerobacter	Thermoanaerobacterium	Thermobaculum	Thermobifida	Thermobispora	Thermocrinis	Thermodesulfovibrio	Thermomicrobium	Thermomonospora	Thermosediminibacter	Thermosinus	Thermosipho	Thermosynechococcus	Thermotoga	Thermus	Thioalkalivibrio	Thiobacillus	Thiomicrospira	Thiomonas	Tolumonas	Treponema	Trichodesmium	Tropheryma	Truepera	Tsukamurella	Turicibacter	Ureaplasma	Variovorax	Veillonella	Verminephrobacter	Verrucomicrobium	Vibrio	Victivallis	Waddlia	Weissella	Wigglesworthia	Wolbachia	Wolinella	Xanthobacter	Xanthomonas	Xenorhabdus	Xylanimonas	Xylella	Yersinia	Zunongwangia	Zymomonas	unclassified (derived from Actinobacteria (class))	unclassified (derived from Alicyclobacillaceae)	unclassified (derived from Alphaproteobacteria)	unclassified (derived from Alteromonadales)	unclassified (derived from Bacteria)	unclassified (derived from Bacteroidetes)	unclassified (derived from Betaproteobacteria)	unclassified (derived from Burkholderiales)	unclassified (derived from Campylobacterales)	unclassified (derived from Candidatus Poribacteria)	unclassified (derived from Chroococcales)	unclassified (derived from Clostridiales Family XI. Incertae Sedis)	unclassified (derived from Clostridiales)	unclassified (derived from Deltaproteobacteria)	unclassified (derived from Elusimicrobia)	unclassified (derived from Erysipelotrichaceae)	unclassified (derived from Flavobacteria)	unclassified (derived from Flavobacteriaceae)	unclassified (derived from Flavobacteriales)	unclassified (derived from Gammaproteobacteria)	unclassified (derived from Lachnospiraceae)	unclassified (derived from Methylophilales)	unclassified (derived from Opitutaceae)	unclassified (derived from Proteobacteria)	unclassified (derived from Rhodobacteraceae)	unclassified (derived from Rhodobacterales)	unclassified (derived from Rickettsiales)	unclassified (derived from Ruminococcaceae)	unclassified (derived from Thermotogales)	unclassified (derived from Verrucomicrobia subdivision 3)	unclassified (derived from Verrucomicrobiales)	unclassified (derived from Vibrionaceae)	unclassified (derived from Vibrionales)
G527_33_P1A11_SNP_S33_R	10	9	12	12	0	4	86	4	3	6	11	6	12	233	129487	95	13	7	3	7	100	3	18	121	0	1	84	126	5	49	7	37	29	14	32	7	28	0	0	0	0	12	24	1	8	2	28	3	11	0	8	3	7	36	84	118	5	4	6	14	0	53	9	20	181	2112	369	8	31	15	22	3	6	20	35	9	2	10	180	0	56	7	152	7	42	32	35	10	0	546	23	11	6	0	0	20	12	6	1	1	0	0	2	13	3	1	1	2	2	2	3	0	9	6	0	41	5	3	3	489	12	1	68	32	6	56	35	104	1	1	7	366	5	6	40	51	20	4	4	672	3	29	278	3	6	21	94	10	8	35	5	7	1	299	6	15	3	1201	3	223	2	57	1	63	90	0	2	1	13	175	4	7	1	7	27	1	3	1	4	1	10	13	31	3	1	3	2	3	19	6	213	5	25	8	12	34	98	12	1	3	2	10	177	1275	32	2	1	1241	0	20	1546	12	4520	26	13	10	1	8	3	1	121	0	33	36	1	32	16	4	0	19	7	31	67	11	0	24	9	12	17	27	13	1	87	72	1	50	19	1	4	12	213	3	45	59	1	2	37	3	5	9	0	1	4	12	60	5	38	32	3	43	16	1	17	4	29	4	1305	29	15	0	22	5	21	16	120	34	11	1	33	21	31	18	1	0	22	0	37	6	6	13	40	0	1	17	5	24	10	3	29	15	18	11	127	0	89	2	3	14	6	3	0	50	4	34	44	4	64	21	8	1	1	32	16	66	1	15	19	8	0	1	8	117	4	10	172	8	12	7	6	1	669	3	6	3	45	7	44	44	29	3	38	64	11	2	26	32	0	6	8	3	8	60	1	2	7	4	3	7	6	0	1	2	8	32	11	24647	32	1	33	0	9	7	76	1035	2	57	1	17	10	1	5	0	0	0	3	10	73	346	2	11	4	17	139	16	36	150	1	48	6	121	67	110	2569	2	2	1174	9	46	5	144	0	17	15	125	36	136	13	12	236	23	3	3	1	17	14	14	3	9	78	4	4	23	28	43	55	12	45	27	2	7	21	1101	16	0	6	4	5	1672	334	276	2	9	2	80	9	252	24	6	30	9	70	29	9	28	7	119	6	221	5	4	3516	748	13	10	19	8	4	8	3	12	3	32	12	5	8	0	4	9	2	0	1	35	2	0	1	9	4	3	15	6	0	4	2	17	5	2	3	6	1	10	10	16	14	13	22	6	10	1	2	11	2	0	37	4	65	5	300	4	0	0	0	1	16	23	351	52	15	190	1487	15	10	7	4	0	0	93	10	1	1	1	0	0	0	0	1	0	16	25	50	22	107	0	1	4	0	0	3	49	14	1	2	1	3	2
G527_34_P1A13_SNP_S34_R	22	2	7	7	0	10	21	9	1	10	1	3	20	73	170	8	32	15	8	23	10	21	2	52	1	5	13	11	7	3	7	0	39	1	26	5	0	0	0	1	0	13	5	1	11	3	14	7	15	1	6	0	7	15	7	139	1	12	11	11	0	10	12	4	19	1418	502	2	1	1	19	3	0	33	25	5	0	14	28	4	83	8	195	6	39	46	17	0	6	158	64	14	39	1	0	7	4	2	6	1	0	0	1	1	9	0	3	2	2	0	0	0	12	1	0	7	8	1	4	293	11	4	746	47	17	4	24	33	0	1	3	368	1	3	8	3	5	2	2	10	6	53	482	0	8	3	18	6	1	22	19	0	1	409	1	6	1	5	4	80	0	28	0	16	3	3	4	1	8	32	2	25	2	4	19	0	2	0	4	0	8	5	17	1	1	0	0	1	30	0	4	2	26	8	18	10	2	13	5	0	9	11	1	26	28	3	4	1	3	24	63	20	3410	6	34	3	4	46	1	6	42	0	2	77	6	68	1	4	2	18	7	40	16	30	0	3	14	9	12	13	5	7	4	24	2	34	8	2	2	1	256	3	3	5	4	0	19	4	17	1	1	1	3	12	8	7	76	80	7	9	21	0	1	3	51	0	31	34	6	1	35	3	52	17	326	4	1	1	5	6	3	37	1	0	4	0	7	72	3	0	35	0	3	4	1	49	5	3	23	2	7	10	22	0	6	0	1	5	2	4	0	40	1	19	3	0	56	4	1	1	3	3	2	111	3	1	22	2	5	2	1	5	0	4	223	86	5	25	3	1	412	0	1	2	47	0	3	2	2	1	29	114	15	0	13	29	0	5	4	2	9	17	1	2	13	4	6	12	0	0	1	2	5	23	22	11	68	0	47	0	13	0	3	2	3	37	2	7	4	5	9	11	0	1	0	45	2	5	1	6	2	9	29	1	40	335	3	131	1	3	4	15	287	3	4	43	4	3	2	173	0	1	25	54	27	133	3	4	123	10	3	0	0	5	4	38	2	16	30	4	6	15	30	12	138	10	13	33	1	0	40	19	36	0	26	3	7	10	29	5	9	0	0	68	27	2	11	11	20	29	61	42	7	22	10	68	7	179	10	67	2668	1042	15	14	3	0	1	1	0	5	5	6	0	5	10	2	2	3	1	0	0	4	0	2	1	8	3	3	23	9	0	0	7	14	3	3	0	2	3	6	1	6	0	2	3	20	2	0	3	11	3	0	24	12	22	0	20	7	0	1	1	2	0	16	319	1	19	147	16	9	11	21	5	0	0	80	6	0	1	0	0	0	8	0	0	1	22	8	7	10	8	0	0	2	0	3	0	105	46	1	3	2	3	0
G527_35_P1A14_SNP_S35_R	20	3	17	5	4	7	49	15	12	31	4	10	159	97	288	13	243	121	19	148	28	9	6	97	6	15	34	36	311	10	14	8	72	14	80	9	9	4	7	0	0	104	16	2	21	7	59	13	27	21	12	8	46	11	37	1040	1	8	28	26	0	29	18	13	24	1971	1100	19	8	6	19	10	4	416	148	11	0	36	91	0	347	24	171	9	400	149	58	1	0	223	91	27	44	3	0	14	18	14	8	0	0	0	6	1	23	1	4	1	5	3	0	0	33	5	0	41	16	5	29	459	99	38	290	1706	15	144	103	84	2	0	13	580	39	5	10	16	28	12	18	4	33	309	848	0	26	13	30	35	12	46	32	6	5	1152	4	19	1	8	10	94	0	48	0	134	37	2	18	8	61	27	5	274	4	7	47	6	5	1	12	1	13	26	45	6	0	6	9	5	23	2	8	7	69	15	30	123	3	32	6	2	5	18	2	17	84	4	32	6	1	230	84	34	4621	26	53	12	4	16	4	24	182	0	4	481	16	47	6	9	1	21	40	57	62	239	0	13	15	10	108	75	24	13	19	68	4	57	11	14	16	3	139	13	11	9	30	2	43	23	20	5	1	1	10	22	20	7	658	685	37	19	159	5	10	28	631	0	16	179	9	0	403	31	455	40	157	15	6	2	50	37	15	225	5	0	17	0	16	12	16	5	72	1	19	6	5	66	17	9	92	1	27	16	49	0	17	1	32	91	4	26	2	195	5	29	10	4	155	14	21	2	6	3	10	363	4	2	270	29	7	64	21	6	5	25	1262	63	44	191	7	2	521	0	5	8	72	10	37	10	12	14	239	849	128	3	28	138	14	12	43	4	40	43	9	0	21	22	23	17	1	0	4	13	4	68	68	9	171	1	363	1	41	10	5	12	7	167	17	30	11	12	18	6	2	2	10	34	19	12	11	14	7	33	52	9	87	308	5	914	1	3	10	34	430	4	7	33	13	18	12	113	0	9	126	115	246	754	15	24	130	51	18	5	1	23	39	58	8	81	110	22	48	91	57	105	212	103	82	275	18	15	433	19	330	1	7	22	10	20	91	10	15	1	1	166	43	4	29	146	82	93	148	67	25	112	76	118	24	446	22	4	3306	1916	138	28	14	0	2	0	2	3	27	54	8	12	21	7	11	30	3	0	7	19	14	4	13	26	7	41	267	104	0	2	69	123	11	5	5	11	16	19	21	13	9	7	4	26	10	7	9	97	8	2	22	25	29	5	54	15	0	3	0	1	3	39	1047	2	247	346	34	45	21	105	9	22	1	145	27	0	4	3	0	1	7	42	4	3	42	17	33	44	43	35	1	16	0	20	10	35	73	2	10	8	5	1
G527_36_P1A19_SNP_S36_R	63	9	43	11	13	28	47	55	4	24	5	31	58	151	613	28	110	65	19	72	21	22	4	94	5	49	23	24	38	13	17	8	260	14	143	13	14	5	0	3	10	43	62	3	51	28	41	31	79	252	22	12	47	21	25	677	6	14	68	23	0	32	23	17	41	1266	2198	12	8	6	14	8	4	170	155	8	4	115	79	6	412	37	392	21	248	179	45	1	18	288	327	91	144	4	1	18	9	5	13	3	0	2	12	2	30	2	6	11	2	5	0	0	39	17	0	55	43	3	14	270	55	18	662	213	46	46	47	73	2	1	12	356	13	13	14	33	31	11	11	16	15	205	2357	0	37	12	31	33	7	36	91	0	5	1499	8	17	4	22	37	132	3	71	3	69	20	3	18	1	38	45	4	160	6	22	139	9	10	7	10	1	18	65	68	6	3	5	7	8	27	5	12	9	42	22	86	52	8	113	3	1	23	9	4	46	89	17	16	10	12	118	114	158	4119	30	144	2	9	31	9	27	163	0	11	213	3	90	2	16	4	30	9	97	76	134	0	12	19	12	87	54	11	23	34	58	5	33	19	6	18	4	278	25	19	21	10	5	20	10	108	1	3	1	10	30	28	24	346	365	21	17	61	3	10	10	271	3	33	136	11	8	139	8	242	24	213	22	2	10	27	20	8	133	12	0	10	0	17	27	16	6	84	0	14	2	8	103	24	11	47	8	22	23	38	0	20	2	10	26	19	15	3	130	3	42	12	5	209	11	11	5	10	4	1	541	18	11	80	15	6	33	25	9	4	23	772	50	37	78	18	0	350	0	8	6	99	7	24	13	8	4	163	510	58	15	108	84	8	9	20	2	37	40	2	4	27	46	21	48	2	0	9	8	5	128	114	31	240	0	153	4	34	6	13	14	19	114	9	28	12	32	34	27	4	7	5	73	22	5	7	17	5	26	47	6	130	586	12	318	2	10	5	46	614	17	10	73	11	12	18	494	2	9	95	114	130	468	6	30	288	30	12	14	1	24	21	200	7	44	58	16	30	57	38	55	717	63	39	163	13	9	134	45	163	0	12	5	29	25	96	11	24	1	0	113	115	5	22	38	70	114	180	103	26	48	42	159	30	670	13	5	2488	1496	52	91	8	2	7	4	3	8	29	51	6	15	29	8	20	23	19	0	3	18	18	7	24	58	24	12	84	47	1	8	17	53	21	12	9	6	23	15	19	11	5	6	9	78	13	3	14	67	32	7	43	18	46	3	58	65	0	1	0	1	6	37	959	2	117	239	38	32	25	69	6	0	0	79	52	0	6	3	1	0	8	0	6	5	115	24	29	33	50	0	0	8	0	10	3	68	215	0	12	7	3	4
G527_37_P1A2_SNP_S37_R	58	3	38	496	12	26	84	60	6	77	11	30	42	129	994	27	219	87	80	74	41	28	13	141	2	29	28	26	40	13	18	13	241	16	147	10	11	5	0	3	6	65	22	4	54	23	60	34	79	11	30	8	62	31	21	785	6	20	86	37	0	27	28	24	35	1455	2212	7	13	13	18	27	5	149	258	9	8	158	134	7	311	39	447	20	200	124	86	4	15	356	339	69	94	4	1	30	8	6	10	0	0	1	9	1	19	1	3	7	3	3	0	0	39	3	0	67	33	7	55	209	55	43	963	207	32	29	58	53	1	4	8	365	17	11	19	29	49	11	21	21	21	433	2711	0	41	9	52	48	15	47	106	4	10	3458	9	26	2	14	40	119	2	67	3	80	18	4	11	2	47	61	17	75	6	23	107	8	5	6	13	1	8	65	73	6	5	10	4	5	27	3	13	12	53	25	94	86	4	112	5	0	11	12	11	33	201	15	51	9	15	98	108	165	4246	41	173	10	7	57	13	36	252	0	10	217	15	128	3	26	7	22	14	379	70	113	0	7	463	263	97	69	91	26	36	47	12	53	21	9	24	3	312	28	17	20	13	4	28	15	101	3	1	2	7	16	29	24	179	247	35	26	83	3	8	43	245	2	68	206	20	2	124	12	131	16	1387	38	4	3	65	34	16	386	4	0	19	1	18	26	35	10	98	0	15	5	3	166	38	15	97	3	39	17	47	0	15	2	20	40	11	14	2	163	2	39	13	0	356	23	15	2	11	5	4	481	3	5	65	15	18	41	25	16	8	27	813	27	33	78	12	1	473	2	5	2	100	5	17	10	10	5	156	378	62	1	12	86	4	3	32	2	50	92	16	10	35	60	18	65	1	0	3	12	9	128	103	35	209	10	237	7	45	5	11	27	33	180	15	38	8	27	42	25	4	6	8	81	27	19	12	39	4	43	51	8	136	591	6	719	2	9	11	47	803	14	11	120	10	13	14	320	1	5	134	182	371	508	4	36	336	59	16	7	1	38	17	247	3	45	90	34	60	137	40	138	751	57	24	192	13	14	145	25	181	5	28	11	40	36	89	12	20	4	3	164	148	3	23	35	122	203	309	125	33	76	43	564	23	714	7	5	2719	1544	58	92	22	1	13	4	2	7	34	30	7	16	34	19	16	11	15	0	0	13	8	5	14	76	25	18	98	43	0	6	12	54	13	11	15	10	19	8	21	9	6	10	6	85	8	4	12	59	24	1	32	47	27	9	59	41	1	10	0	4	1	55	1305	5	146	263	33	29	49	244	10	0	0	107	37	0	7	0	0	0	19	0	8	5	102	28	51	47	26	0	3	8	0	31	14	77	201	1	12	9	4	1
G527_38_P1A20_SNP_S38_R	6	0	10	11	4	9	12	17	0	8	0	3	9	40	236	8	16	13	3	13	4	13	0	29	3	10	7	15	7	4	3	2	47	1	19	0	3	1	2	0	0	7	6	0	10	6	18	1	8	1	3	0	9	12	1	85	0	5	17	6	0	6	4	8	10	1455	481	0	0	1	20	4	0	16	25	0	0	20	20	1	57	3	274	2	23	34	9	1	4	144	47	13	26	1	1	9	3	2	4	0	0	1	1	0	3	0	4	2	0	0	0	0	3	3	0	11	8	2	7	370	10	3	544	28	6	6	9	15	0	1	2	471	8	1	7	0	4	2	2	11	3	30	454	0	14	1	9	9	2	37	15	4	1	333	1	5	0	4	7	57	0	34	0	16	2	4	2	1	6	18	0	9	4	13	23	2	0	1	6	1	1	18	8	0	1	2	1	0	21	0	2	2	40	6	13	6	1	18	1	1	3	23	2	4	14	1	0	7	0	21	45	36	5044	8	33	2	2	9	2	6	22	0	0	31	2	42	0	3	3	21	3	26	17	19	0	2	13	4	16	13	6	1	6	57	0	42	4	3	3	0	274	4	2	5	1	1	16	3	20	0	0	0	1	13	9	3	41	45	4	14	14	1	2	4	29	1	23	23	3	1	24	3	29	11	214	5	2	1	2	1	3	31	0	0	35	0	4	4	6	0	34	0	0	1	1	25	6	1	10	1	3	4	11	0	4	0	3	3	6	3	1	29	1	11	1	1	85	5	2	1	0	1	0	87	1	1	16	1	4	3	8	2	0	1	176	12	7	10	5	2	639	0	1	0	51	2	1	2	2	0	17	74	7	1	10	24	1	3	4	4	6	7	1	1	11	12	3	10	0	0	3	2	1	22	17	22	32	1	26	1	5	1	4	6	7	22	1	5	1	5	7	3	1	2	1	35	0	2	3	5	0	6	19	2	25	215	1	103	0	0	2	10	151	5	4	9	1	2	4	252	0	1	17	27	29	132	1	4	149	11	3	3	0	3	3	32	0	13	25	5	7	6	8	16	141	3	13	19	2	0	19	15	23	0	4	4	9	14	27	4	4	0	0	54	32	0	9	5	12	26	44	18	7	11	5	54	5	168	5	3	3663	812	13	11	3	0	0	3	0	4	7	9	0	4	3	1	2	2	3	0	0	6	1	2	2	14	4	1	15	2	1	0	1	8	5	4	1	1	2	1	3	2	1	0	2	14	2	0	2	10	2	2	12	3	10	2	20	10	0	2	1	1	1	13	346	0	12	226	16	7	5	20	2	5	1	85	5	0	1	0	0	0	4	24	3	1	27	5	5	5	6	20	0	0	0	2	4	80	44	1	1	1	2	0
G527_39_P1A22_SNP_S39_R	39	12	37	22	8	19	36	19	5	29	11	32	27	119	140	11	42	33	9	18	19	28	3	107	2	23	25	29	21	11	18	9	63	18	75	19	7	5	0	4	7	26	37	9	48	14	332	11	43	2	11	12	9	120	22	189	10	27	23	13	0	22	31	26	19	1399	1295	8	4	20	43	8	0	64	153	29	6	29	53	11	62	29	780	11	38	76	32	4	8	381	105	46	73	6	0	27	22	3	12	2	0	16	16	1	51	1	6	10	11	4	0	0	113	17	1	26	25	6	7	343	21	2	727	146	23	19	49	78	3	5	25	548	82	16	34	12	17	20	7	37	14	52	1006	0	20	10	35	20	7	46	28	3	19	551	6	10	8	13	10	136	1	95	3	64	23	9	17	17	39	53	11	11	13	35	55	26	30	9	17	15	15	36	115	7	17	28	6	13	32	0	13	18	26	12	41	44	4	32	1	1	9	13	6	38	53	2	5	31	5	146	2240	53	4256	9	34	4	8	97	8	21	106	0	15	89	2	277	7	13	5	53	17	62	225	30	0	22	24	9	17	50	12	6	15	47	5	210	4	9	17	5	718	20	10	18	49	4	18	9	30	4	5	1	15	22	11	21	50	55	19	27	32	2	7	9	85	8	128	41	8	4	37	35	49	26	450	15	1	8	30	19	12	45	6	0	42	0	18	21	22	2	110	0	5	9	8	42	7	17	56	14	31	17	23	0	15	7	14	23	9	10	2	112	11	39	9	19	148	22	29	4	13	4	4	222	10	14	23	29	6	8	34	4	2	30	399	3735	203	27	8	3	405	0	2	7	180	7	36	23	16	23	34	140	18	30	42	99	4	10	13	17	18	42	3	7	37	15	87	18	2	0	6	21	2	78	112	37	145	1	62	7	40	5	3	18	20	94	6	87	24	24	12	30	3	8	2	89	11	10	21	69	99	23	63	8	197	295	11	350	15	8	11	15	582	9	8	17	4	11	9	665	4	10	30	87	66	126	4	51	520	57	33	9	0	10	13	57	5	153	40	17	23	17	29	31	271	19	18	43	4	13	34	165	80	3	15	3	19	26	94	257	9	12	1	119	45	8	717	41	23	85	109	66	96	56	17	150	13	762	146	15	2778	2414	25	14	8	6	18	6	2	14	19	65	15	57	13	6	58	11	11	0	2	18	14	8	15	38	19	27	36	16	1	14	26	10	15	12	7	11	38	22	23	11	9	3	7	199	4	0	15	11	7	18	54	16	32	20	64	28	7	4	1	8	6	35	653	4	49	248	61	27	15	18	8	0	0	75	24	1	2	2	2	0	13	0	50	2	46	9	26	19	32	0	1	15	0	8	1	379	49	7	26	19	0	0
